n_layers,hidden,dropout,lr,wd,lambda_smooth,drop_edge_p,use_lp,huber_delta,max_epochs,patience,feature_set,session,labeled_fraction,arch,graph_type,k,seed,best_val_mae,naive_mae
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,10,2,0.12769077718257904,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,12,0,0.12756870687007904,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,12,1,0.12748485803604126,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,12,2,0.12811531126499176,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,14,0,0.12758629024028778,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,14,1,0.12781593203544617,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,14,2,0.12804895639419556,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,16,0,0.12828105688095093,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,16,1,0.1282363086938858,0.15910111367702484
3,128,0.4,0.002,1e-05,0.01,0.35,True,0.1,300,30,15feat,ablation_v2,1.0,gat,similarity,16,2,0.12836359441280365,0.15910111367702484
